Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
12,1691319600.0,0.32360828,144
13,1691323200.0,0.3248614,144
14,1691326800.0,0.38125005,144
15,1691330400.0,0.41423386,144
16,1691334000.0,0.37842986,144
17,1691337600.0,0.40447277,144
18,1691341200.0,0.3585947,144
19,1691344800.0,0.27402434,144
20,1691348400.0,0.2077696,144
21,1691352000.0,0.13173041,144
22,1691355600.0,0.097837165,144
23,1691359200.0,0.06723819,144
0,1691276400.0,0.2665876,148
1,1691280000.0,0.32838827,148
2,1691283600.0,0.29895532,148
3,1691287200.0,0.2947993,148
4,1691290800.0,0.28765777,148
5,1691294400.0,0.14336568,148
6,1691298000.0,0.2202659,148
7,1691301600.0,0.35097575,148
8,1691305200.0,0.82062775,148
9,1691308800.0,0.7961407,148
10,1691312400.0,0.8089751,148
11,1691316000.0,0.8673785,148
12,1691319600.0,0.95101357,148
13,1691323200.0,0.97129446,148
14,1691326800.0,0.9717361,148
15,1691330400.0,0.9970722,148
16,1691334000.0,1.1247065,148
17,1691337600.0,1.3831397,148
18,1691341200.0,1.3372616,148
19,1691344800.0,1.2973876,148
20,1691348400.0,0.92227894,148
21,1691352000.0,0.64839226,148
22,1691355600.0,0.599899,148
23,1691359200.0,0.5658906,148
0,1691276400.0,0.20829618,151
1,1691280000.0,0.2172296,151
2,1691283600.0,0.1875526,151
3,1691287200.0,0.18344152,151
4,1691290800.0,0.1763,151
5,1691294400.0,0.11314237,151
6,1691298000.0,0.18548127,151
7,1691301600.0,0.29488307,151
8,1691305200.0,0.4579128,151
9,1691308800.0,0.47278532,151
10,1691312400.0,0.552649,151
11,1691316000.0,0.58553046,151
12,1691319600.0,0.6299531,151
13,1691323200.0,0.6502339,151
14,1691326800.0,0.7321798,151
15,1691330400.0,0.76516366,151
16,1691334000.0,0.9207574,151
17,1691337600.0,1.1068053,151
18,1691341200.0,1.0609275,151
19,1691344800.0,0.98597413,151
20,1691348400.0,0.9197194,151
21,1691352000.0,0.59524137,151
22,1691355600.0,0.46771824,151
23,1691359200.0,0.4236836,151
0,1691276400.0,0.22261298,152
1,1691280000.0,0.24590352,152
2,1691283600.0,0.21622652,152
3,1691287200.0,0.21207051,152
4,1691290800.0,0.20492898,152
5,1691294400.0,0.14177136,152
6,1691298000.0,0.19366387,152
7,1691301600.0,0.18959428,152
8,1691305200.0,0.27081028,152
9,1691308800.0,0.25478613,152
10,1691312400.0,0.29326028,152
11,1691316000.0,0.30757794,152
12,1691319600.0,0.3413143,152
13,1691323200.0,0.32134935,152
14,1691326800.0,0.32179093,152
15,1691330400.0,0.32708427,152
16,1691334000.0,0.36032334,152
17,1691337600.0,0.38636628,152
18,1691341200.0,0.3590519,152
19,1691344800.0,0.22616406,152
20,1691348400.0,0.21438001,152
21,1691352000.0,0.14730361,152
22,1691355600.0,0.11341044,152
23,1691359200.0,0.08281144,152
0,1691276400.0,0.055394568,158
1,1691280000.0,0.18315303,158
2,1691283600.0,0.15347597,158
3,1691287200.0,0.14931996,158
4,1691290800.0,0.14267507,158
5,1691294400.0,0.079517424,158
6,1691298000.0,0.11963154,158
7,1691301600.0,0.2556298,158
8,1691305200.0,0.5006168,158
9,1691308800.0,0.44153926,158
10,1691312400.0,0.4905887,158
11,1691316000.0,0.55009085,158
12,1691319600.0,0.5838273,158
13,1691323200.0,0.60410815,158
14,1691326800.0,0.6020562,158
15,1691330400.0,0.6890912,158
16,1691334000.0,0.6757315,158
17,1691337600.0,0.715493,158
18,1691341200.0,0.6671214,158
19,1691344800.0,0.58717203,158
20,1691348400.0,0.43228358,158
21,1691352000.0,0.27074146,158
22,1691355600.0,0.23684828,158
23,1691359200.0,0.19869696,158
0,1691276400.0,0.1673762,161
1,1691280000.0,0.1974856,161
2,1691283600.0,0.14339706,161
3,1691287200.0,0.13924107,161
4,1691290800.0,0.13209954,161
5,1691294400.0,0.06894188,161
6,1691298000.0,0.10105362,161
7,1691301600.0,0.22085033,161
8,1691305200.0,0.36644104,161
9,1691308800.0,0.3520475,161
10,1691312400.0,0.41490594,161
11,1691316000.0,0.49835068,161
12,1691319600.0,0.7439829,161
13,1691323200.0,0.77347386,161
14,1691326800.0,0.77391547,161
15,1691330400.0,0.77862173,161
16,1691334000.0,0.7868782,161
17,1691337600.0,0.96173537,161
18,1691341200.0,0.9253803,161
19,1691344800.0,0.90899354,161
20,1691348400.0,0.51411116,161
21,1691352000.0,0.34582967,161
22,1691355600.0,0.23955813,161
23,1691359200.0,0.1703747,161
0,1691276400.0,0.1848479,162
1,1691280000.0,0.21495727,162
2,1691283600.0,0.18528023,162
3,1691287200.0,0.16749065,162
4,1691290800.0,0.16034913,162
5,1691294400.0,0.09719147,162
6,1691298000.0,0.19276708,162
7,1691301600.0,0.22517,162
8,1691305200.0,0.36327636,162
9,1691308800.0,0.4346163,162
10,1691312400.0,0.48964882,162
11,1691316000.0,0.517313,162
12,1691319600.0,0.53900635,162
13,1691323200.0,0.5653853,162
14,1691326800.0,0.5633332,162
15,1691330400.0,0.66437894,162
16,1691334000.0,0.63819456,162
17,1691337600.0,0.66460073,162
18,1691341200.0,0.6339938,162
19,1691344800.0,0.51789093,162
20,1691348400.0,0.35106942,162
21,1691352000.0,0.25993934,162
22,1691355600.0,0.21928728,162
23,1691359200.0,0.18868831,162
0,1691276400.0,0.067739844,163
1,1691280000.0,0.10214742,163
2,1691283600.0,0.07247041,163
3,1691287200.0,0.06831441,163
4,1691290800.0,0.06328737,163
5,1691294400.0,0.00012973107,163
6,1691298000.0,0.033342127,163
7,1691301600.0,0.00082493946,163
8,1691305200.0,-0.0036982698,163
9,1691308800.0,-0.022640768,163
10,1691312400.0,0.026408788,163
11,1691316000.0,0.05929025,163
12,1691319600.0,0.09083208,163
13,1691323200.0,0.09209437,163
14,1691326800.0,0.08053121,163
15,1691330400.0,0.09294456,163
16,1691334000.0,0.06303697,163
17,1691337600.0,0.08907996,163
18,1691341200.0,0.043201797,163
19,1691344800.0,0.030112492,163
20,1691348400.0,0.033262435,163
21,1691352000.0,0.0068196296,163
22,1691355600.0,0.0007953485,163
23,1691359200.0,-0.021595022,163
0,1691276400.0,0.052197628,164
1,1691280000.0,0.08230701,164
2,1691283600.0,0.056944657,164
3,1691287200.0,0.05278865,164
4,1691290800.0,0.047761608,164
5,1691294400.0,-0.015396041,164
6,1691298000.0,0.014107732,164
7,1691301600.0,-0.013107071,164
8,1691305200.0,-0.017392643,164
9,1691308800.0,-0.03633514,164
10,1691312400.0,0.012714431,164
11,1691316000.0,0.03479708,164
12,1691319600.0,0.067332596,164
13,1691323200.0,0.06859489,164
14,1691326800.0,0.06903646,164
15,1691330400.0,0.07493671,164
16,1691334000.0,0.04930111,164
17,1691337600.0,0.037997544,164
18,1691341200.0,0.011996058,164
19,1691344800.0,-0.021413008,164
20,1691348400.0,0.0029908132,164
21,1691352000.0,-0.0065651247,164
22,1691355600.0,-0.008131488,164
23,1691359200.0,-0.030334825,164
0,1691276400.0,0.0700338,166
1,1691280000.0,0.11225205,166
2,1691283600.0,0.09132408,166
3,1691287200.0,0.08716809,166
4,1691290800.0,0.08002659,166
5,1691294400.0,0.0133288205,166
6,1691298000.0,0.062632136,166
7,1691301600.0,0.026804324,166
8,1691305200.0,0.0082236845,166
9,1691308800.0,-0.008604334,166
10,1691312400.0,0.04044522,166
11,1691316000.0,0.06252786,166
12,1691319600.0,0.08695451,166
13,1691323200.0,0.08621938,166
14,1691326800.0,0.091179565,166
15,1691330400.0,0.09938601,166
16,1691334000.0,0.054634593,166
17,1691337600.0,0.06969267,166
18,1691341200.0,0.043691214,166
19,1691344800.0,0.00266126,166
20,1691348400.0,0.027466582,166
21,1691352000.0,0.007329456,166
22,1691355600.0,-0.0040596463,166
23,1691359200.0,-0.014461317,166
0,1691276400.0,0.11883697,170
1,1691280000.0,0.14894634,170
2,1691283600.0,0.119269334,170
3,1691287200.0,0.115113325,170
4,1691290800.0,0.10797181,170
5,1691294400.0,0.044814184,170
6,1691298000.0,0.0849283,170
7,1691301600.0,0.13325189,170
8,1691305200.0,0.21446781,170
9,1691308800.0,0.1976399,170
10,1691312400.0,0.24668941,170
11,1691316000.0,0.27957094,170
12,1691319600.0,0.31330732,170
13,1691323200.0,0.3335882,170
14,1691326800.0,0.3340298,170
15,1691330400.0,0.3670136,170
16,1691334000.0,0.37527013,170
17,1691337600.0,0.40131307,170
18,1691341200.0,0.35543495,170
19,1691344800.0,0.29961276,170
20,1691348400.0,0.23335804,170
21,1691352000.0,0.16628161,170
22,1691355600.0,0.13238843,170
23,1691359200.0,0.101789385,170
0,1691276400.0,0.10786929,186
1,1691280000.0,0.1411201,186
2,1691283600.0,0.11144311,186
3,1691287200.0,0.10340793,186
4,1691290800.0,0.10129344,186
5,1691294400.0,0.04941407,186
6,1691298000.0,0.09166219,186
7,1691301600.0,0.080849074,186
8,1691305200.0,0.15856253,186
9,1691308800.0,0.1417346,186
10,1691312400.0,0.18036537,186
11,1691316000.0,0.21324681,186
12,1691319600.0,0.24698323,186
13,1691323200.0,0.2672641,186
14,1691326800.0,0.26770565,186
15,1691330400.0,0.279495,186
16,1691334000.0,0.286728,186
17,1691337600.0,0.3080265,186
18,1691341200.0,0.26214832,186
19,1691344800.0,0.20632607,186
20,1691348400.0,0.16265483,186
21,1691352000.0,0.12400404,186
22,1691355600.0,0.10302011,186
23,1691359200.0,0.09439004,186
0,1691276400.0,0.10528885,209
1,1691280000.0,0.36141858,209
2,1691283600.0,0.3430166,209
3,1691287200.0,0.3383039,209
4,1691290800.0,0.33116236,209
5,1691294400.0,0.09285907,209
6,1691298000.0,0.40323922,209
7,1691301600.0,0.3756627,209
8,1691305200.0,0.44204286,209
9,1691308800.0,0.238498,209
10,1691312400.0,0.4575561,209
11,1691316000.0,0.49293116,209
12,1691319600.0,0.34086603,209
13,1691323200.0,0.36114693,209
14,1691326800.0,0.35909498,209
